,Symbol,Group,Family,Duration,Growth_Habit,Native_Status,Other_Name
28,ABUM,Dicot,Nyctaginaceae,Perennial,Forb/herbVine,CAN NL48 N,
29,ABUMU,Dicot,Nyctaginaceae,Perennial,Forb/herb,L48 N,
30,ABVI,Dicot,Nyctaginaceae,Annual,Forb/herb,L48 N,
31,ABVIA,Dicot,Nyctaginaceae,Annual,Forb/herb,L48 N,
32,ABVIV,Dicot,Nyctaginaceae,Annual,Forb/herb,L48 N,
33,ABPR3,Dicot,Fabaceae,Perennial,Vine,"HI IL48 IPB I,NPR IVI I",
34,ABUTI,Dicot,Malvaceae, , ,"CAN IHI I,NL48 I,NPB I,NPR I,NVI I,N",
35,ABAB,Dicot,Malvaceae,Perennial,Forb/herbSubshrub,L48 NPR NVI I,
36,ABHI,Dicot,Malvaceae,Perennial,Forb/herbSubshrub,L48 IPR IVI I,
37,ABIN,Dicot,Malvaceae,Perennial,Forb/herbSubshrub,HI NL48 N,
38,ABMA8,Dicot,Malvaceae, , ,None,
39,ABME3,Dicot,Malvaceae, , ,None,
40,ABMO2,Dicot,Malvaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
41,ABTH,Dicot,Malvaceae,Annual,Forb/herb,CAN IL48 I,
42,ACACI,Dicot,Fabaceae, , ,"HI I,NL48 IPB I",
43,ACAN10,Dicot,Fabaceae,Perennial,ShrubTree,HI I,
44,ACAN11,Dicot,Fabaceae,Perennial,Forb/herbSubshrub,L48 N,
45,ACBA,Dicot,Fabaceae,Perennial,ShrubTree,L48 I,
46,SEBE2,Dicot,Fabaceae,Perennial,ShrubTree,L48 N,
47,ACBO4,Dicot,Fabaceae, , ,None,
48,ACCA27,Dicot,Fabaceae, , ,None,
49,SECA28,Dicot,Fabaceae, , ,None,
50,VACO8,Dicot,Fabaceae, , ,None,
51,ACCO,Dicot,Fabaceae,Perennial,Tree,HI IPB I,
52,VACO9,Dicot,Fabaceae,Perennial,ShrubTree,L48 N,
53,VACO10,Dicot,Fabaceae,Perennial,ShrubTree,L48 I,
54,ACCY2,Dicot,Fabaceae,Perennial,Shrub,L48 I,red eye
55,ACDE3,Dicot,Fabaceae,Perennial,ShrubTree,L48 I,
56,ACDE,Dicot,Fabaceae,Perennial,Tree,L48 I,
57,ACEL,Dicot,Fabaceae,Perennial,Tree,L48 I,
58,VAFA,Dicot,Fabaceae,Perennial,ShrubTree,HI IL48 NPB IPR NVI N,aromaklukolu
59,ACGL7,Dicot,Fabaceae, , ,None,redwoodwild dividivi
60,SEGR4,Dicot,Fabaceae,Perennial,ShrubTree,L48 N,
61,ACKO,Dicot,Fabaceae,Perennial,Tree,HI N,
62,ACLI8,Dicot,Fabaceae, , ,None,
63,ACLO,Dicot,Fabaceae,Perennial,ShrubTree,L48 I,
64,ACLOS3,Dicot,Fabaceae, , ,None,
65,VAMA4,Dicot,Fabaceae,Perennial,Tree,L48 NPR NVI N,
66,ACME80,Dicot,Fabaceae,Perennial,ShrubTree,HI IL48 I,
67,ACME,Dicot,Fabaceae,Perennial,Tree,HI IL48 I,
68,SEMU4,Dicot,Fabaceae,Perennial,Tree,PR NVI N,
69,SENI4,Dicot,Fabaceae, , ,None,
70,VANI4,Dicot,Fabaceae,Perennial,ShrubTree,PR IVI I,gum arabic tree
71,ACPA8,Dicot,Fabaceae,Perennial,Shrub,L48 I,acacia-hedgekangaroo-thornprickly acacia
72,ACPA81,Dicot,Fabaceae,Perennial,Tree,HI I,
73,VAFAP,Dicot,Fabaceae,Perennial,ShrubTree,L48 N,pineland wattle
74,ACPO2,Dicot,Fabaceae,Perennial,Tree,L48 I,
75,SEPO3,Dicot,Fabaceae,Perennial,ShrubTree,PR IVI I,
76,ACPR6,Dicot,Fabaceae, , ,None,
77,ACPY3,Dicot,Fabaceae,Perennial,ShrubTree,L48 I,
78,SEWE4,Dicot,Fabaceae,Perennial,ShrubTreeVine,PR NVI N,
79,VARI,Dicot,Fabaceae,Perennial,ShrubTree,L48 N,
80,SERO,Dicot,Fabaceae,Perennial,ShrubTree,L48 N,
81,ACSA,Dicot,Fabaceae,Perennial,ShrubTree,L48 I,
82,VASC4,Dicot,Fabaceae, , ,None,
83,SESE16,Dicot,Fabaceae, , ,None,
84,VASE,Dicot,Fabaceae, , ,None,
85,VASP2,Dicot,Fabaceae,Perennial,Tree,L48 I,
86,VATO,Dicot,Fabaceae, , ,None,
87,VATO2,Dicot,Fabaceae,Perennial,ShrubTree,L48 NPR NVI N,
88,ACUN2,Dicot,Fabaceae, , ,None,
89,ACVE2,Dicot,Fabaceae,Perennial,ShrubTree,L48 I,
90,SEVO2,Dicot,Fabaceae,Perennial,ShrubTreeVine,PR NVI N,
91,VAXA,Dicot,Fabaceae, , ,None,
92,ACPI3,Dicot,Rosaceae,Perennial,Forb/herb,L48 N,
93,ACWI,Dicot,Euphorbiaceae,Perennial,Shrub,L48 IPB I?PR I,acalyfabeefsteak plantcapa de obispofire-dragonJacob's coatJacob's-coatmatch me if you canprimavera
94,ACGR2,Dicot,Euphorbiaceae,Annual,Forb/herb,L48 N,
95,ACHI2,Dicot,Euphorbiaceae,Perennial,Shrub,PB IPR I,bristly copperleaf
96,ACOS,Dicot,Euphorbiaceae,Annual,Forb/herb,L48 NPR NVI N,
97,ACRH,Dicot,Euphorbiaceae,Annual,Forb/herb,CAN NL48 N,
98,ACVI,Dicot,Euphorbiaceae,Annual,Forb/herb,L48 N,
99,ACSH,Dicot,Asteraceae,Perennial,Subshrub,L48 N,
100,ACANT6,Dicot,Cactaceae, , ,HI IL48 NVI N,
101,ACDU2,Dicot,Lamiaceae,Annual,Forb/herb,L48 N,
102,ACIL,Dicot,Lamiaceae,Annual,Forb/herb,L48 N,
103,ACAU2,Dicot,Asteraceae,AnnualPerennial,Forb/herb,HI IL48 I,
104,ACHI,Dicot,Asteraceae,AnnualPerennial,Forb/herb,CAN IHI IL48 IPR NVI N,
105,ACANT7,Dicot,Acanthaceae, , ,L48 IPB N,
106,ACMO8,Dicot,Acanthaceae,Perennial,Forb/herb,L48 I,
107,ACPOP,Dicot,Acanthaceae, , ,None,
108,ACSP7,Dicot,Acanthaceae, , ,None,
109,ACSC5,Lichen,Acarosporaceae, ,Lichenous,NA N,
110,ACMU5,Moss,Pottiaceae, ,Nonvascular,NA N,
111,ACTR4,Moss,Pottiaceae, ,Nonvascular,NA N,
112,ACER,Dicot,Aceraceae, , ,"AK I?,N?CAN I,NL48 I,NSPM N",
113,ACFL,Dicot,Aceraceae,Perennial,Tree,L48 N,
114,ACCA5,Dicot,Aceraceae,Perennial,ShrubTree,CAN IL48 I,
115,ACCI,Dicot,Aceraceae,Perennial,ShrubTreeVine,AK N?CAN NL48 N,
116,ACCI5,Dicot,Aceraceae, , ,None,
117,ACGI,Dicot,Aceraceae,Perennial,ShrubTree,CAN IL48 I,
118,ACGL,Dicot,Aceraceae,Perennial,ShrubTree,AK I?CAN NL48 N,
119,ACGLD3,Dicot,Aceraceae,Perennial,ShrubTree,L48 N,
120,ACGLD4,Dicot,Aceraceae,Perennial,ShrubTree,AK I?CAN NL48 N,
121,ACGLN2,Dicot,Aceraceae,Perennial,ShrubTree,L48 N,
122,ACGLT2,Dicot,Aceraceae,Perennial,ShrubTree,L48 N,
123,ACGR3,Dicot,Aceraceae,Perennial,ShrubTree,L48 N,
124,ACGR14,Dicot,Aceraceae, , ,None,
125,ACJA2,Dicot,Aceraceae,Perennial,Tree,CAN I,
126,ACMA3,Dicot,Aceraceae,Perennial,Tree,CAN NL48 N,
127,ACNE2,Dicot,Aceraceae,Perennial,Tree,CAN NL48 N,ash-leaf maplethree-leaf maple
128,ACNEN,Dicot,Aceraceae,Perennial,Tree,CAN NL48 N,
129,ACNI5,Dicot,Aceraceae,Perennial,Tree,CAN NL48 N,
130,ACPA2,Dicot,Aceraceae,Perennial,ShrubTree,CAN IL48 I,
131,ACPE,Dicot,Aceraceae,Perennial,ShrubTree,CAN NL48 N,
132,ACPL,Dicot,Aceraceae,Perennial,Tree,CAN IL48 I,
133,ACPS,Dicot,Aceraceae,Perennial,Tree,CAN IL48 I,
134,ACRU,Dicot,Aceraceae,Perennial,Tree,CAN NL48 N,
135,ACRUD,Dicot,Aceraceae,Perennial,Tree,L48 N,
136,ACRUR,Dicot,Aceraceae,Perennial,Tree,CAN NL48 N,
137,ACRUT,Dicot,Aceraceae,Perennial,Tree,CAN NL48 N,
138,ACSA2,Dicot,Aceraceae,Perennial,Tree,CAN NL48 N,
139,ACSA3,Dicot,Aceraceae,Perennial,ShrubTree,CAN NL48 N,
140,ACSP2,Dicot,Aceraceae,Perennial,ShrubTree,CAN NL48 NSPM N,
141,ACTA80,Dicot,Aceraceae,Perennial,ShrubTree,L48 I,
142,ACHIL,Dicot,Asteraceae, , ,"AK I,NCAN I,NGL I,NHI IL48 I,NSPM I,N",
143,ACFI,Dicot,Asteraceae,Perennial,Forb/herb,CAN IL48 I,
144,ACMI2,Dicot,Asteraceae,Perennial,Forb/herb,"AK NCAN I,NGL NHI IL48 I,NSPM I,N",milenramamilfoil
145,ACMIB,Dicot,Asteraceae,Perennial,Forb/herb,AK NCAN NGL NL48 NSPM N,
146,ACMIO,Dicot,Asteraceae,Perennial,Forb/herb,AK NCAN NGL NL48 NSPM N,
147,ACPT,Dicot,Asteraceae,Perennial,Forb/herb,AK ICAN IGL IL48 ISPM I,
148,ACTR,Dicot,Berberidaceae,Perennial,Forb/herb,CAN NL48 N,
149,ACAR14,Monocot,Poaceae,Perennial,Graminoid,L48 N,
150,ACBL,Monocot,Poaceae,Perennial,Graminoid,L48 N,
151,ACCU6,Monocot,Poaceae,Perennial,Graminoid,L48 N,
152,ACDI10,Monocot,Poaceae,Perennial,Graminoid,L48 N,
153,ACEM4,Monocot,Poaceae,Perennial,Graminoid,L48 N,
154,ACHE10,Monocot,Poaceae,Perennial,Graminoid,L48 N,
155,ACHY,Monocot,Poaceae,Perennial,Graminoid,CAN NL48 N,
156,ACLA8,Monocot,Poaceae,Perennial,Graminoid,L48 N,
157,ACLEL,Monocot,Poaceae,Perennial,Graminoid,CAN NL48 N,
158,ACLE9,Monocot,Poaceae,Perennial,Graminoid,L48 N,
159,ACLO7,Monocot,Poaceae,Perennial,Graminoid,L48 N,
160,ACNED,Monocot,Poaceae,Perennial,Graminoid,CAN NL48 N,
161,ACNEN2,Monocot,Poaceae,Perennial,Graminoid,CAN NL48 N,
162,ACOCC,Monocot,Poaceae,Perennial,Graminoid,CAN NL48 N,
163,ACOCO,Monocot,Poaceae,Perennial,Graminoid,L48 N,
164,ACOCP,Monocot,Poaceae,Perennial,Graminoid,CAN NL48 N,
165,ACPA13,Monocot,Poaceae,Perennial,Graminoid,L48 N,
166,ACPI2,Monocot,Poaceae,Perennial,Graminoid,L48 N,
167,ACRI8,Monocot,Poaceae,Perennial,Graminoid,AK ICAN NL48 N,
168,ACRO7,Monocot,Poaceae,Perennial,Graminoid,L48 N,
169,ACSC11,Monocot,Poaceae,Perennial,Graminoid,L48 N,
170,ACSP12,Monocot,Poaceae,Perennial,Graminoid,L48 N,
171,ACST7,Monocot,Poaceae,Perennial,Graminoid,L48 N,
172,ACTH7,Monocot,Poaceae,Perennial,Graminoid,L48 N,
173,ACWE3,Monocot,Poaceae,Perennial,Graminoid,L48 N,
174,ACIDA,Monocot,Iridaceae, , ,None,
175,ACAR2,Dicot,Lamiaceae,AnnualPerennial,Forb/herb,CAN IL48 I,
176,ACFE2,Dicot,Apiaceae, , ,None,
177,ACLO2,Dicot,Nyctaginaceae,Perennial,Forb/herbSubshrub,L48 N,
178,ACOP,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
179,ACOPR,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
180,ACWR4,Monocot,Arecaceae,Perennial,ShrubTree,L48 N,
181,ACONI,Dicot,Ranunculaceae, , ,"AK NCAN GP,I,N,W?L48 I,N",
182,ACCO4,Dicot,Ranunculaceae,Perennial,Forb/herb,CAN NL48 N,
183,ACCOC3,Dicot,Ranunculaceae,Perennial,Forb/herb,CAN NL48 N,
184,ACDED3,Dicot,Ranunculaceae,Perennial,Forb/herb,AK NCAN N,
185,ACFI3,Dicot,Ranunculaceae, , ,None,
186,ACNA,Dicot,Ranunculaceae,Perennial,Forb/herb,CAN IL48 I,
187,ACNO2,Dicot,Ranunculaceae,Perennial,Forb/herb,L48 N,
188,ACRE,Dicot,Ranunculaceae,Perennial,Forb/herb,L48 N,
189,ACUN,Dicot,Ranunculaceae,Perennial,Forb/herb,L48 N,
190,ACAM,Monocot,Acoraceae,Perennial,Forb/herb,AK NCAN NL48 N,
191,ACCA4,Monocot,Acoraceae,Perennial,Forb/herb,CAN IL48 I,
192,ACGR15,Monocot,Acoraceae, , ,None,
193,ACNA2,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
194,ACRU3,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
195,ACWR5,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
196,ACRA6,Monocot,Poaceae,Annual,Graminoid,L48 I,
197,ACMA5,Monocot,Poaceae, ,Graminoid,None,
198,ACRE3,Dicot,Asteraceae,Perennial,Forb/herb,CAN IL48 I,
199,ACAU3,Fern,Pteridaceae,Perennial,Forb/herb,HI IL48 NPB NPR NVI N,
200,ACAR18,Dicot,Ranunculaceae,Perennial,Forb/herb,L48 N,
201,ACPA,Dicot,Ranunculaceae,Perennial,Forb/herb,CAN NL48 N,
202,ACPO11,Dicot,Ranunculaceae,Perennial,Forb/herb,L48 N,
203,ACRAR,Dicot,Ranunculaceae,Perennial,Forb/herb,CAN NL48 N,
204,ACRU14,Dicot,Ranunculaceae,Perennial,Forb/herb,L48 N,
205,ACRU2,Dicot,Ranunculaceae,Perennial,Forb/herb,AK NCAN NL48 N,
206,ACRUA8,Dicot,Ranunculaceae,Perennial,Forb/herb,AK NCAN NL48 N,
207,ACRUR2,Dicot,Ranunculaceae,Perennial,Forb/herb,AK NCAN NL48 N,
208,ACCH5,Dicot,Actinidiaceae,Perennial,ShrubVine,L48 I,
209,ADDI3,Dicot,Bombacaceae,Perennial,Tree,PR I,
210,ADRI,Dicot,Euphorbiaceae,Perennial,ShrubTree,PR NVI N,
211,ADPA,Dicot,Fabaceae,Perennial,Tree,HI IL48 IPB IPR IVI I,
212,ADENI,Dicot,Apocynaceae, , ,None,
213,ADOB2,Dicot,Apocynaceae, , ,None,
214,ADBI,Dicot,Asteraceae,Perennial,Forb/herb,CAN NL48 N,
215,ADPO,Dicot,Asteraceae,Perennial,Subshrub,L48 N,
216,ADFA,Dicot,Rosaceae,Perennial,Shrub,L48 N,
217,ADFAF,Dicot,Rosaceae,Perennial,Shrub,L48 N,
218,ADSP,Dicot,Rosaceae,Perennial,ShrubTree,L48 N,
219,ADIAN,Fern,Pteridaceae, , ,"AK NCAN NHI I,NL48 I,NNAV NPB NPR NVI N",
220,ADAL,Fern,Pteridaceae,Perennial,Forb/herb,AK NCAN NL48 N,
221,ADCA,Fern,Pteridaceae,Perennial,Forb/herb,CAN NHI NL48 NPR N,
222,ADHI,Fern,Pteridaceae,Perennial,Forb/herb,HI IL48 IPB N,rough maidenhair fern
223,ADJO,Fern,Pteridaceae,Perennial,Forb/herb,L48 N,
224,ADPE,Fern,Pteridaceae,Perennial,Forb/herb,CAN NL48 N,
225,ADPU,Fern,Pteridaceae,Perennial,Forb/herb,PR NVI N,
226,ADFU,Dicot,Fumariaceae,Biennial,Forb/herbVine,CAN NL48 N,
227,ADAN,Dicot,Ranunculaceae,Annual,Forb/herb,CAN IL48 I,
228,ADVE,Dicot,Ranunculaceae,Perennial,Forb/herb,L48 I,
229,ADMO,Dicot,Adoxaceae,Perennial,Forb/herb,AK NCAN NL48 N,
230,AECHM,Monocot,Bromeliaceae, , ,"PR I,NVI N",
231,AEFA3,Monocot,Bromeliaceae, , ,PR I,
232,AELI,Monocot,Bromeliaceae,Perennial,Forb/herb,PR NVI N,
233,AEGIL,Monocot,Poaceae, , ,L48 I,
234,AEBI,Monocot,Poaceae, ,Graminoid,None,
235,AECO,Monocot,Poaceae, ,Graminoid,None,
236,AECR,Monocot,Poaceae,Annual,Graminoid,L48 I,
237,AECY,Monocot,Poaceae,Annual,Graminoid,L48 I,
238,AEGE,Monocot,Poaceae,Annual,Graminoid,L48 I,
239,AELO,Monocot,Poaceae, ,Graminoid,None,
240,AELO2,Monocot,Poaceae, ,Graminoid,None,
241,AESP2,Monocot,Poaceae, ,Graminoid,None,
242,AETR,Monocot,Poaceae,Annual,Graminoid,L48 I,
243,AEVE,Monocot,Poaceae, ,Graminoid,None,
244,AEPO,Dicot,Apiaceae,Perennial,Forb/herb,CAN IL48 ISPM I,
245,AECE,Monocot,Poaceae,Annual,Graminoid,L48 I,
246,AETE,Monocot,Poaceae,Annual,Graminoid,L48 N,
247,AEONI,Dicot,Crassulaceae, , ,L48 I,
248,AEAR4,Dicot,Crassulaceae,Perennial,Subshrub,L48 I,
249,AEHA2,Dicot,Crassulaceae,Perennial,Shrub,L48 I,
250,AEUN,Dicot,Crassulaceae, , ,None,
251,AEAM,Dicot,Fabaceae,Perennial,Forb/herbSubshrub,L48 NPB IPR NVI I,
252,AEEL2,Dicot,Fabaceae, , ,None,
253,AEIN,Dicot,Fabaceae,AnnualPerennial,Forb/herb,L48 NPR N,
254,AERU,Dicot,Fabaceae,Perennial,Forb/herb,L48 NPR N,
255,AESE2,Dicot,Fabaceae,Perennial,Forb/herbSubshrub,PR NVI N,
256,AEVI3,Dicot,Fabaceae,Annual,Forb/herb,L48 N,
257,AEVI,Dicot,Fabaceae,Perennial,Forb/herb,L48 N,
258,AESCU,Dicot,Hippocastanaceae, , ,"CAN I,NL48 I,N",
259,AECA,Dicot,Hippocastanaceae,Perennial,ShrubTree,L48 N,
260,AEFL,Dicot,Hippocastanaceae,Perennial,ShrubTree,L48 N,
261,AEGL,Dicot,Hippocastanaceae,Perennial,Tree,CAN NL48 N,
262,AEGLA,Dicot,Hippocastanaceae,Perennial,Tree,L48 N,
263,AEHI,Dicot,Hippocastanaceae,Perennial,Tree,CAN IL48 I,
264,AEPA2,Dicot,Hippocastanaceae,Perennial,ShrubTree,L48 N,
265,AEPA,Dicot,Hippocastanaceae,Perennial,ShrubTree,CAN IL48 N,
266,AECY2,Dicot,Apiaceae,Annual,Forb/herb,CAN IL48 ISPM I,
267,AFFA,Gymnosperm,Podocarpaceae, , ,None,
268,AFAF,Dicot,Fabaceae, , ,None,
269,AFBE,Dicot,Fabaceae, , ,None,
270,AFQU,Dicot,Fabaceae, , ,None,
271,AGAP3,Dicot,Scrophulariaceae,Annual,Forb/herb,L48 N,
272,AGAS2,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
273,AGAU3,Dicot,Scrophulariaceae,Annual,Forb/herb,L48 N,
274,AGDE6,Dicot,Scrophulariaceae,Annual,Forb/herb,L48 N,
275,AGFA2,Dicot,Scrophulariaceae,Annual,Forb/herb,L48 NPR N,
276,AGGA,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
277,AGHE4,Dicot,Scrophulariaceae,Annual,Forb/herb,L48 N,
278,AGLI2,Dicot,Scrophulariaceae,Perennial,Forb/herb,L48 N,
279,AGMA3,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
280,AGMAM,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
281,AGOB,Dicot,Scrophulariaceae,Annual,Forb/herb,L48 N,
282,AGPA12,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
283,AGPU5,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
284,AGSE3,Dicot,Scrophulariaceae,Annual,Forb/herb,L48 N,
285,AGSK,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
286,AGTE3,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
287,AGTEM,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
288,AGTET,Dicot,Scrophulariaceae,Annual,Forb/herb,CAN NL48 N,
289,AGAPA2,Monocot,Liliaceae, , ,L48 I,
290,AGAF,Monocot,Liliaceae, , ,None,
291,AGPRO,Monocot,Liliaceae, , ,None,
292,AGPO2,Dicot,Ericaceae,Perennial,Shrub,L48 N,
293,AGFO,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,CAN NL48 N,
294,AGNE2,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,CAN NL48 N,
295,AGOC,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,L48 N,
296,AGPA,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,L48 N,
297,AGPAN,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,L48 N,
298,AGPA2,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,L48 N,
299,AGSC,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,CAN NL48 N,
300,AGUR,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,CAN NL48 N,
301,AGURU,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,CAN NL48 N,
302,AGWR,Dicot,Lamiaceae,Perennial,Forb/herbSubshrub,L48 N,
303,AGAU4,Gymnosperm,Araucariaceae, , ,None,
304,AGAVE,Monocot,Agavaceae, , ,"HI IL48 I,NPB IPR I,NVI I,N",
305,AGAN4,Monocot,Agavaceae, , ,None,
306,AGAR8,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
307,AGCU3,Monocot,Agavaceae, , ,None,
308,AGDE,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
309,AGDED,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
310,AGGR4,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
311,AGLE,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
312,AGPA3,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
313,AGPA4,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
314,AGPA5,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
315,AGSH,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
316,AGSI2,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,HI IL48 IPB IPR IVI I,malinasisal
317,AGUT,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
318,AGUTK,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
319,AGUTN,Monocot,Agavaceae,Perennial,Forb/herbShrubSubshrub,L48 N,
320,AGALA,Dicot,Asteraceae,Perennial,Forb/herb,CAN NL48 N,
321,AGALR,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
322,AGARA,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
323,AGHE5,Dicot,Asteraceae,Perennial,Forb/herbSubshrub,L48 N,
324,AGLU,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
325,AGOC2,Dicot,Asteraceae,Perennial,Forb/herbSubshrub,L48 N,
326,AGCO2,Dicot,Asteraceae,Perennial,Forb/herbSubshrub,L48 N,
327,AGCO4,Monocot,Araceae,Perennial,Forb/herb,L48 IPR I,
328,AGBO4,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
329,AGRE8,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
330,AGOSE,Dicot,Asteraceae, , ,AK NCAN NL48 N,
331,AGAP2,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
332,AGAPE,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
333,AGAU2,Dicot,Asteraceae,Perennial,Forb/herbSubshrub,AK NCAN NL48 N,
334,AGAUA,Dicot,Asteraceae,Perennial,Forb/herbSubshrub,AK NCAN NL48 N,
335,AGEL,Dicot,Asteraceae,Perennial,Forb/herb,CAN NL48 N,
336,AGGL,Dicot,Asteraceae,Perennial,Forb/herbShrubSubshrub,AK NCAN NL48 N,
337,AGGLD,Dicot,Asteraceae,Perennial,Forb/herb,AK NCAN NL48 N,
338,AGGLG,Dicot,Asteraceae,Perennial,Forb/herb,CAN NL48 N,
339,AGGLL,Dicot,Asteraceae,Perennial,Forb/herbShrubSubshrub,L48 N,
340,AGGR,Dicot,Asteraceae,Perennial,Forb/herb,CAN NL48 N,
341,AGHEH,Dicot,Asteraceae,Annual,Forb/herb,CAN NL48 N,
342,AGRE,Dicot,Asteraceae,Perennial,Forb/herb,L48 N,
343,AGHI60,Lichen,Hymeneliaceae, ,Lichenous,NA N,
344,AGRIM,Dicot,Rosaceae, , ,"CAN GP,NL48 I,NSPM N",
345,AGEU,Dicot,Rosaceae,Perennial,Forb/herb,L48 I,
346,AGGR2,Dicot,Rosaceae,Perennial,Forb/herb,CAN NL48 N,
347,AGMI2,Dicot,Rosaceae,Perennial,Forb/herb,L48 N,
348,AGPA6,Dicot,Rosaceae,Perennial,Forb/herb,CAN NL48 N,
349,AGPU,Dicot,Rosaceae,Perennial,Forb/herb,CAN NL48 N,
350,AGRO3,Dicot,Rosaceae,Perennial,Forb/herb,L48 N,
351,AGST,Dicot,Rosaceae,Perennial,Forb/herb,CAN NL48 NSPM N,
352,AGROP2,Monocot,Poaceae, , ,AK ICAN IL48 I,
